Date,Description,Amount,Transaction Type,Category,Account
2026-01-01,Monthly Phone Bill,-65,Expense,Phone,Checking
2026-01-02,Paycheck,842.18,Income,Employment Income,Checking
2026-01-02,Roth IRA Contribution,-150,Investment,Roth IRA Contribution,Checking
2026-01-02,Transfer to High-Yield Savings,-100,Savings,HYSA Contribution,Checking
2026-01-03,Fuel Purchase,-92.45,Expense,Transportation,Credit Card
2026-01-05,Groceries,-46.82,Expense,Groceries,Credit Card
2026-01-08,Dining Purchase,-38.2,Expense,Dining Out,Credit Card
2026-01-11,Personal Purchase,-27.64,Expense,Personal,Credit Card
2026-01-14,Fuel Purchase,-55.3,Expense,Transportation,Credit Card
2026-01-16,Paycheck,861.42,Income,Employment Income,Checking
2026-01-16,Roth IRA Contribution,-150,Investment,Roth IRA Contribution,Checking
2026-01-16,Transfer to High-Yield Savings,-100,Savings,HYSA Contribution,Checking
2026-01-18,Entertainment Subscription,-24.99,Expense,Entertainment,Credit Card
2026-01-21,Dining Purchase,-18.75,Expense,Dining Out,Credit Card
2026-01-25,Groceries,-41.16,Expense,Groceries,Credit Card
2026-01-30,Paycheck,834.76,Income,Employment Income,Checking
2026-01-30,Roth IRA Contribution,-150,Investment,Roth IRA Contribution,Checking
2026-01-30,Transfer to High-Yield Savings,-100,Savings,HYSA Contribution,Checking
2026-02-01,Monthly Phone Bill,-65,Expense,Phone,Checking
2026-02-03,Fuel Purchase,-88.7,Expense,Transportation,Credit Card
2026-02-05,Groceries,-51.24,Expense,Groceries,Credit Card
2026-02-06,Tax Refund,312.45,Income,Other Income,Checking
2026-02-08,Dining Purchase,-35.9,Expense,Dining Out,Credit Card
2026-02-11,Personal Purchase,-31.48,Expense,Personal,Credit Card
2026-02-13,Paycheck,873.1,Income,Employment Income,Checking
2026-02-13,Roth IRA Contribution,-150,Investment,Roth IRA Contribution,Checking
2026-02-13,Transfer to High-Yield Savings,-100,Savings,HYSA Contribution,Checking
2026-02-14,Fuel Purchase,-48.6,Expense,Transportation,Credit Card
2026-02-18,Entertainment Subscription,-24.99,Expense,Entertainment,Credit Card
2026-02-21,Dining Purchase,-16.2,Expense,Dining Out,Credit Card
2026-02-25,Groceries,-44.38,Expense,Groceries,Credit Card
2026-02-27,Paycheck,856.34,Income,Employment Income,Checking
2026-02-27,Roth IRA Contribution,-150,Investment,Roth IRA Contribution,Checking
2026-02-27,Transfer to High-Yield Savings,-100,Savings,HYSA Contribution,Checking
2026-03-01,Monthly Phone Bill,-65,Expense,Phone,Checking
2026-03-03,Fuel Purchase,-96.18,Expense,Transportation,Credit Card
2026-03-05,Groceries,-43.76,Expense,Groceries,Credit Card
2026-03-08,Dining Purchase,-42.35,Expense,Dining Out,Credit Card
2026-03-11,Personal Purchase,-29.12,Expense,Personal,Credit Card
2026-03-13,Paycheck,847.89,Income,Employment Income,Checking
2026-03-13,Roth IRA Contribution,-150,Investment,Roth IRA Contribution,Checking
2026-03-13,Transfer to High-Yield Savings,-100,Savings,HYSA Contribution,Checking
